operation_name,operation_type,city,total_floor_area,avg_hrs_wk,annual_flow_mega_liters,electricity_quantity,natural_gas_quantity,ghg_emissions_kg,energy_intensity_ek_wh_sqft,energy_intensity_ek_wh_mega_litre
Algonguin Island Sewage Pumping Station,Sewage Pumping,Toronto,75,168,56.04,12841.653503000001,0,462.299526108,171.2227601318613,229.15251623643107
Baby Point Sewage Pumping Station,Sewage Pumping,Toronto,1,168,253.78,58624.026054999995,0,2110.46493798,58624.27032177522,231.00429632664205
Berry Rd Sewage Pumping Station,Sewage Pumping,Etobicoke,7244,168,32.64,11878.584483,0,427.62904138799996,1.6397893397435137,363.92873704356657
Brule Gardens Sewage Pumping Station,Sewage Pumping,Toronto,151,168,50.56,10469.563663,0,376.904291868,69.3351475906088,207.0729289197375
Cumber Sewage Pumping Station,Sewage Pumping,Scarborough,635,168,2188.48,346574.13877400005,0,12476.668995864,545.7883194219081,158.36360525703302
Ellis Ave Sewage Pumping Station,Sewage Pumping,Toronto,1,168,285.85,4084.845259,0,147.05442932399998,4084.862279188579,14.290230117854046
Fallingbrook Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,49,20135.447437,0,724.8761077319999,20135.53133469765,410.92921091219694
Grand River Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,28.58,5001.0803639999995,0,180.03889310399995,5001.101201834849,174.98604625034463
Greyabbey Trail Sewage Pumping Station,Sewage Pumping,Scarborough,1001,168,41.53,44206.044497999996,0,1591.4176019279996,44.16206662322884,1064.4408545594044
Humber Sewage Pumping Station,Sewage Pumping,Toronto,1,168,9.22,12893.485908999999,0,464.16549272399993,12893.539631857953,1398.4316303533571
Island Rd Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,41.62,18280.081867,0,658.082947212,18280.15803400778,439.21571441633307
Kennedy Park Sewage Pumping Station,Sewage Pumping,Toronto,151,168,124.19,16744.237847,0,602.792562492,110.88945440170657,134.8281473118423
Kingston Rd Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,93.08,132637.62323,0,4774.95443628,132638.17588676346,1424.9911461835352
Livingston Rd Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,319.93,111764.30145,0,4023.5148521999995,111764.76713458938,349.341315708403
Long Branch Sewage Pumping Station,Sewage Pumping,Etobicoke,3068,168,730.8,206052.760696,0,7417.899385056,67.16219662619608,281.9562387098653
Lower Simcoe Pumping Station,Sewage Pumping,Toronto,1,168,1288.57,83475.525203,0,3005.1189073079995,83475.87301768834,64.78179145695488
Martin Grove Sewage Pumping Station,Sewage Pumping,Etobicoke,1,168,8.67,27320.925441,0,983.5533158759999,27321.039278189335,3151.2156030206847
Midland Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,1927.35,103903.455091,0,3740.5243832759998,103903.88802206288,53.91023323322847
Military Trail Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,16.19,4204.08899,0,151.34720364,4204.106507037459,259.67303934758854
Mimico Sewage Pumping Station,Sewage Pumping,Etobicoke,4435,168,6845.08,856177.470677,0,30822.388944371996,193.05096687330953,125.0797708840697
New Toronto Pumping Station,Sewage Pumping,Toronto,2067,168,181.39,280363.906419,0,10093.100631084,135.63864276823583,1545.6479111414271
Port Union Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,576.22,55321.428875000005,0,1991.5714395,55321.65938095364,96.007877860806
Redlands Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,671.26,149757.716775,0,5391.2778038999995,149758.34076548656,223.10034973853135
Riverside Sewage Pumping Station,Sewage Pumping,Toronto,1,168,39.87,2124.253255,0,76.47311718,2124.262106055229,53.2797117144527
Sewells Rd Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,78.22,58939.062243,0,2121.8062407479997,58939.30782242601,753.5068757661213
Silver Birch Ave Sewage Pumping Station,Sewage Pumping,Toronto,1,168,4.65,337.742939,0,12.158745803999999,337.7443462622458,72.63319274456899
Strachan Sewage Pumping Station,Sewage Pumping,Toronto,1,168,984.93,266885.49339200003,5861.861176,20743.59681954744,328768.7965804019,333.79914976739656
Swansea Sewage Pumping Station,Sewage Pumping,Toronto,527,168,394.37,174149.19682,0,6269.37108552,330.45526080010137,441.5901880002369
Valleymede Sewage Pumping Stn,Sewage Pumping,Toronto,1,168,101.06,73896.308037,0,2660.2670893319996,73896.61593828347,731.2152774419501
Ward's Island Sewage Pumping Station,Sewage Pumping,Toronto,1,168,20.65,2703.3237160000003,0,97.31965377600001,2703.334979848817,130.91210556168608
Warren Park Sewage Pumping Station,Sewage Pumping,Toronto,1,168,165.52,85521.24479699999,0,3078.7648126919994,85521.60113551999,516.6843954538423
West Rouge Sewage Pumping Station,Sewage Pumping,Scarborough,3229,168,834.16,310709.331226,0,11185.535924135998,96.22503123202644,372.483247636201
Western Beaches Tunnel Storm Pumping Station,Sewage Pumping,Toronto,1,168,439.07,376707.47371,0,13561.469053559998,376709.0433244738,857.9703539856373
Wirral Crt Sewage Pumping Station,Sewage Pumping,Scarborough,1,168,143.73,79760.575193,0,2871.380706948,79760.90752872996,554.9356956009877
Highland Creek Treatment Plant,Sewage Treatment,Scarborough,255395,168,62388,33914086.207774,6940806.2747599995,14406287.375578688,419.6893838195978,1718.0638933866478
Humber Treatment Plant,Sewage Treatment,Etobicoke,224869,168,121062,49923547.538806,2201367.07143,5979162.723321873,325.35846627120594,604.3435012798385
Main Treatment Plant,Sewage Treatment,Toronto,378438,168,240817,131780414.05238701,6802374.340276999,17666497.416366745,537.9795759305272,845.4216884854343
North Toronto Treatment Plant,Sewage Treatment,East York,21786,168,5731,2622228.84171,0,94400.23830155999,120.36352555143242,457.5536150171884
Bloor Islington Storm Pumping Station,Other,Etobicoke,355,168,5.35,26536.266634999996,0,955.3055988599998,74.75035831768349,4960.070505192082
Eglinton-Bellamy Storm Pumping Station,Other,Scarborough,441,168,10.69,38302.204326,0,1378.8793557359998,86.85343292180957,3583.0087856424716
Islington Storm Pumping Station,Other,Etobicoke,450,168,18.17,33257.395014999995,0,1197.2662205399997,73.90563019439827,1830.3540774617072
North Queen St Storm Pumping Station,Other,Etobicoke,676,168,8.82,18224.993247,2378.8160000000003,5175.112723932001,64.1089204174124,4913.56351498535
Armour Heights Pumping Station,Water Pumping,Toronto,5780,168,24155.99,3661969.253,0,131830.893108,633.5613341185502,151.59736823890142
Eglinton Pumping Station,Water Pumping,Scarborough,10075,168,34983.01,6914382.053193999,0,248917.75391498397,686.2938821954561,197.6505413090303
Ellesmere Pumping Station,Water Pumping,Scarborough,6243,168,87668.6,23157791.902355,0,833680.50848478,3709.4166895970834,264.15259731710773
High Level Pumping Station,Water Pumping,Toronto,46403,168,33577.33,10271604.860839,0,369777.77499020396,221.35740489176533,305.91019771949067
John Street Pumping Station,Water Pumping,Toronto,112773,168,106167.78,44075600.877548,0,1586721.631591728,390.8363218668031,415.1521725883784
Keele Pumping Station,Water Pumping,North York,2745,168,42080.81,7289305.845871001,0,262415.010451356,2655.4958899740222,173.22233621402944
Kennedy Pumping Station,Water Pumping,Scarborough,5360,168,30447.7,3280162.1492250003,0,118085.8373721,611.9731001058375,107.73148108288274
Lawrence Pumping Station,Water Pumping,North York,15629,168,20075.73,4565872.172,0,164371.398192,292.142248158384,227.43338331743772
Milliken Pumping Station,Water Pumping,Markham,1,168,22005.49,4565773.805323,0,164367.85699162798,4565792.8293805225,207.4842609449061
Parkdale Pumping Station,Water Pumping,Toronto,11227,168,7734.47,2821833.6244050004,0,101586.01047858,251.34456061682567,364.8401741871262
Richview Pumping Station,Water Pumping,Etobicoke,2357,168,59005.54,13894846.006838,0,500214.45624616795,5895.164998739793,235.48473417970064
Rosehill Pumping Station,Water Pumping,Toronto,1550,168,35742.68,10868367.201936,0,391261.2192696959,7011.8790237415105,304.0737987973857
Scarborough Pumping Station,Water Pumping,Scarborough,9160,168,15887.84,5473512.017259001,0,197046.43262132403,597.5474698208595,344.5109482194605
St. Albans Pumping Station,Water Pumping,Etobicoke,3240,168,26267.75,4440235.144161,0,159848.465189796,1370.4486559076443,169.03821778191002
Thornhill Pumping Station,Water Pumping,Thornhill,1550,168,1119.43,189373.400129,0,6817.442404643999,122.1768962482799,169.17019303112642
W.H. Johnston Pumping Station,Water Pumping,Etobicoke,1744,168,14569.22,2202779.975064,0,79300.079102304,1263.0671750653075,151.19472101553112
West Toronto Pumping Station,Water Pumping,Toronto,7739,168,27608.78,4454902.977871,0,160376.50720335598,575.6456312142061,161.3588698945314
F.J. Horgan Filtration Plant,Water Treatment,Scarborough,325447,168,91798.4,39659854.369968,250713.73636399998,1904033.135152175,129.99579455595304,460.86578143901477
Island Filtration Plant,Water Treatment,Toronto,64196,168,87810,7770374.278645,30048.658504,336816.6101046838,125.98328198574072,92.10366439308292
R.C. Harris Filtration Plant,Water Treatment,Toronto,115368,168,121785.2,45890654.95193499,43380.56405,1734473.201989804,401.7474849626867,380.57829559893355
R.L. Clark Filtration Plant,Water Treatment,Etobicoke,401612,168,134418.5,54850774.508935004,62882.013953,2094084.2154080346,138.230014611116,412.999941436629
